date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:25	168/168	---MC-	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202024%2023:35:29%20GMT	https://www.crazygames.com/robots.txt		(from )
18:20:26	492067/492067	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202024%2000:20:25%20GMT	https://www.crazygames.com/game/worldguessr	C:/My%20Web%20Sites/geoguessr/www.crazygames.com/game/worldguessr.html	(from )
18:20:26	2071/2071	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Oct%202024%2012:00:58%20GMT	https://images.crazygames.com/favicons/manifest-icon-3.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=120&h=120&fit=crop&crop=entropy	C:/My%20Web%20Sites/geoguessr/images.crazygames.com/favicons/manifest-icon-3edfb.jpg	(from https://www.crazygames.com/game/worldguessr)
18:20:26	2610/2610	---M--	200	added ('OK')	image/jpeg	date:Sat,%2002%20Nov%202024%2005:46:26%20GMT	https://images.crazygames.com/favicons/manifest-icon-3.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=152&h=152&fit=crop&crop=entropy	C:/My%20Web%20Sites/geoguessr/images.crazygames.com/favicons/manifest-icon-32709.jpg	(from https://www.crazygames.com/game/worldguessr)
18:20:26	2899/2899	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Oct%202024%2006:38:36%20GMT	https://images.crazygames.com/favicons/manifest-icon-3.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=167&h=167&fit=crop&crop=entropy	C:/My%20Web%20Sites/geoguessr/images.crazygames.com/favicons/manifest-icon-3fab2.jpg	(from https://www.crazygames.com/game/worldguessr)
18:20:27	3186/3186	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202024%2016:36:13%20GMT	https://images.crazygames.com/favicons/manifest-icon-3.png?auto=format%2Ccompress&q=45&cs=strip&ch=DPR&w=180&h=180&fit=crop&crop=entropy	C:/My%20Web%20Sites/geoguessr/images.crazygames.com/favicons/manifest-icon-3b86c.jpg	(from https://www.crazygames.com/game/worldguessr)
18:20:27	30916/30916	---MCZ	200	added ('OK')	text/css	etag:W/%222c501a704748012309968413e79bad27%22	https://builds.crazygames.com/portal/_next/static/css/1be3a4466523e6c2.css	C:/My%20Web%20Sites/geoguessr/builds.crazygames.com/portal/_next/static/css/1be3a4466523e6c2.css	(from https://www.crazygames.com/game/worldguessr)
18:20:27	5452/5452	---MCZ	200	added ('OK')	text/css	etag:W/%2222da0057a5c4e5ff417c267bddb9c8be%22	https://builds.crazygames.com/portal/_next/static/css/a8d40004e2675e0c.css	C:/My%20Web%20Sites/geoguessr/builds.crazygames.com/portal/_next/static/css/a8d40004e2675e0c.css	(from https://www.crazygames.com/game/worldguessr)
18:20:28	11595/11595	---MCZ	200	added ('OK')	text/css	etag:W/%2262f7112dc423919d16193064a3615d1f%22	https://builds.crazygames.com/portal/_next/static/css/2fc3acd957f9a1a5.css	C:/My%20Web%20Sites/geoguessr/builds.crazygames.com/portal/_next/static/css/2fc3acd957f9a1a5.css	(from https://www.crazygames.com/game/worldguessr)
18:20:28	91460/91460	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a30f535065c606d76ce69721a09b0267%22	https://builds.crazygames.com/portal/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/geoguessr/builds.crazygames.com/portal/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.crazygames.com/game/worldguessr)
